name,variable,Use_Case
asomex d  tablet 2.5mg/12.5mg,use0, Hypertension (high blood pressure)
amc 500 tablet,use0,Treatment of Bacterial infections
aconex sp 100mg/325mg/15mg tablet,use0, Pain relief
azithrin 500mg tablet,use0,Treatment of Bacterial infections
atortrue f 10mg/145mg tablet,use0,Treatment of High cholesterol
actiblok ipr 50 tablet pr,use0,Treatment of Hypertension (high blood pressure)
anglit 6.4 tablet cr,use0,Treatment of Angina (heart-related chest pain)
acidom 10 mg/150 mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
acemol p 100mg/325mg tablet,use0, Pain relief
arirazo 10mg tablet,use0, Schizophrenia
alphapod cv 200mg/125mg tablet,use0,Treatment of Respiratory tract infection
axifur 250mg tablet,use0,Treatment of Bacterial infections
aprilia tablet,use0,Treatment of Heartburn
azotas 50mg tablet,use0, Prevention of organ rejection in transplant patients
angivex 2.6 sr tablet,use0,Treatment of Angina (heart-related chest pain)
apdrops dx eye drop,use0,Treatment of Bacterial eye infections
asomex-m tablet pr,use0, Hypertension (high blood pressure)
advog m 0.2 tablet sr,use0,Treatment of Type 2 diabetes mellitus
andromin solution,use0,Treatment of Hair loss
alock p 100 mg/325 mg tablet,use0, Pain relief
artigesic 100 mg/162.5 mg suspension,use0, Pain relief
acbro 250mg tablet,use0, Fungal infections
amipox h 12.5 mg/5 mg tablet,use0,Treatment of Depression
aquapam injection,use0, Organophosphate poisoning
apnicid d 30mg/40mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
acebran plus 100mg/600mg tablet,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
amlovent at 5mg/50mg tablet,use0,Treatment of Hypertension (high blood pressure)
avmont l 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
acno(intas) soap,use0,Treatment of Acne
anal 100mg/2mg tablet mr,use0,Treatment of Pain due to muscle spasm
acepac 100mg tablet,use0, Pain relief
atorvatin gold 20/75/75 capsule,use0,Prevention of Heart attack
acevel 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
apitane syrup,use0, Appetite stimulant
ascodex mintz ctz syrup,use0, Dry cough
apyridine p 100mg/325mg tablet,use0, Pain relief
actigaba m 100mg/1500mcg tablet,use0,Treatment of Neuropathic pain
amtericin 50mg injection,use0, Severe fungal infections
aerozest 50mcg inhaler,use0, Chronic obstructive pulmonary disease (COPD)
acicare 40mg tablet,use0,Treatment of Heartburn
anasure cream,use0,Treatment of Piles
acebull 100 capsule,use0, Chronic obstructive pulmonary disease (COPD)
advance lube eye drop,use0,Treatment of Dry eyes
atorlip-f 5mg/145mg tablet,use0,Treatment of High cholesterol
actimol 50 mg/500 mg tablet,use0, Pain relief
allerkast syrup,use0,Treatment of Sneezing and runny nose due to allergies
amlovas s 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
acetop p 100mg/500mg tablet,use0, Pain relief
aptocef 500 tablet,use0,Treatment of Bacterial infections
aurofort opthalmic suspension,use0,Treatment of Redness and swelling in the eye
anxynil m 0.5mg/10mg tablet,use0,Treatment of Depression
atpera 650 tablet,use0, Pain relief
az3 500 tablet,use0,Treatment of Bacterial infections
azigard 500mg tablet,use0,Treatment of Bacterial infections
aceclocef-p tablet,use0, Pain relief
atos cv 10mg/75mg tablet,use0, Heart attack prevention and high cholesterol
alencuf dx syrup,use0,Treatment of Dry cough
avosic 10mg/10mg/2.5mg tablet,use0,Treatment of Nausea and vomiting in pregnancy
aclance-sp tablet,use0, Pain relief
ampoxid 250 mg/250 mg capsule,use0,Treatment of Bacterial infections
azithral stat  100mg tablet,use0,Treatment of Bacterial infections
afasma 100mg capsule,use0, Chronic obstructive pulmonary disease (COPD)
augxetil cv 250 mg tablet,use0,Treatment of Bacterial infections
anatero tablet,use0, Breast cancer
atvas 10mg tablet,use0, High cholesterol
auradex 8mg tablet,use0,Treatment of Inflammatory conditions
acef 500mg tablet,use0,Treatment of Bacterial infections
acolate sr tablet,use0, Cough
azitis 500 tablet,use0,Treatment of Bacterial infections
alinol 0.25mg/20mg tablet,use0, Anxiety disorder
acnobye gel,use0,Treatment of Acne
adaclene 0.1% gel,use0, Acne
alcipro 2mg infusion,use0,Treatment of Bacterial infections
auxen d 250mg/10mg tablet,use0,Prevention of Migraine
adenoz 6mg injection,use0, Arrhythmia
airkast-l tablet,use0,Treatment of Sneezing and runny nose due to allergies
amit 25 mg tablet,use0,Treatment of Depression
aig 20mg capsule,use0,Treatment of Heartburn
activizer-pg tablet,use0,Treatment of Neuropathic pain
acceclowoc 200mg tablet sr,use0, Pain relief
anemol 1000mg infusion,use0, Pain relief
amofine 0.25% cream,use0, Fungal nail infections
adapic c gel,use0,Treatment of Acne
azoflox 200mg tablet,use0,Treatment of Bacterial infections
adcef 125mg tablet dt,use0,Treatment of Bacterial infections
alnamet myo 500mg/600mg tablet,use0,Treatment of Polycystic ovarian syndrome (PCOS)
amoxil kid 250mg tablet,use0,Treatment of Bacterial infections
acephyl-fm tablet,use0, Asthma
az acnewin 20% cream,use0,Treatment of Acne
altracirol syrup,use0,Treatment of Gout
art gel eye drop,use0,Treatment of Dry eyes
amdiclox capsule,use0,Treatment of Bacterial infections
acenex plus tablet,use0, Pain relief
almac 0.25mg tablet dt,use0,Treatment of Anxiety disorder
actimin 1000mg tablet,use0, Pain relief
adp at 5mg/50mg tablet,use0,Treatment of Hypertension (high blood pressure)
aclotol-mr 4 tablet,use0,Treatment of Pain due to muscle spasm
av force 100mg tablet,use0,Treatment of Erectile dysfunction
adhestop 25000iu injection,use0,Prevention of Blood clots
acnerus t 0.05% cream,use0,Treatment of Acne
angiflam p 100mg/325mg tablet,use0, Pain relief
astifine 1mg tablet,use0,Treatment of Hair loss
ampikem 500mg capsule,use0, Bacterial infections
appcyp syrup,use0, Appetite stimulant
azax fs kit,use0, Syndromic treatment of vaginal discharge
alenfast 50mg tablet,use0, Moderate to severe pain
acerex sp tablet,use0, Pain relief
acmeglim-m2 tablet pr,use0,Treatment of Type 2 diabetes mellitus
alprax z 0.5 mg/3 mg tablet,use0,Treatment of Insomnia
advog 0.2 tablet,use0,Treatment of Type 2 diabetes mellitus
attera 18mg tablet,use0, Attention deficit hyperactivity disorder (ADHD)
alifix cv 200mg/125mg tablet,use0,Treatment of Bacterial infections
acenate-sp tablet,use0, Pain relief
amotus syrup,use0,Treatment of Cough
axol plus syrup,use0, Cough with mucus
arixtra 7.5mg injection,use0, Deep vein thrombosis
atr 40mg tablet,use0, High cholesterol
aztel 40mg tablet,use0,Treatment of Hypertension (high blood pressure)
altoran 80 tablet,use0, Hypertension (high blood pressure)
apiz 5mg tablet md,use0, Schizophrenia
almet 10mg tablet,use0,Treatment of Nausea
amlokem 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
almox 100mg oral drops,use0,Treatment of Peptic ulcer disease
acetry mr 100mg/4mg tablet,use0,Treatment of Pain due to muscle spasm
acrub gel,use0,Treatment of Bacterial infections
avapar 25mg injection,use0, Abdominal cramp
aziwin fs kit,use0, Syndromic treatment of vaginal discharge
atminic dca tablet,use0,Treatment of Dry cough
amcef 200mg tablet,use0,Treatment of Bacterial infections
axol ls syrup,use0,Treatment of Cough with mucus
acef 200mg tablet,use0,Treatment of Bacterial infections
acetol 200mg tablet,use0, Epilepsy/Seizures
amiwel 25 tablet,use0,Treatment of Depression
altonil ls 3 tablet,use0, Anxiety disorder
axant 50mg/400mg tablet,use0,Treatment of Pain due to muscle spasm
antipreg 200mg tablet,use0, Medical abortion
alphamox 500mg capsule,use0,Treatment of Bacterial infections
active cold m 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
acvaketo soap,use0, Fungal skin infections
alfer syrup sugar free,use0, Appetite stimulant
alpraz 0.5mg tablet,use0,Treatment of Anxiety
asmasafe 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
alco p 100 mg/500 mg tablet,use0, Pain relief
adblock at 5 mg/50 mg tablet,use0,Treatment of Hypertension (high blood pressure)
acenova fh tablet,use0, Pain relief
ampoxin 250mg injection,use0,Treatment of Bacterial infections
afitra-sb 100 capsule,use0,Treatment of Fungal infections
ace proxyvon spas tablet,use0,Treatment of Abdominal pain
amizep 25 mg/10 mg tablet,use0,Treatment of Depression
allerdest m 5 mg/10 mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
acelife plus 500 mg/15 mg tablet,use0, Pain relief
asclin p 100 mg/500 mg tablet,use0, Pain relief
anawin 0.25% injection,use0, Local anesthesia (Numb tissues in a specific area)
aristocillin 500mg injection,use0, Bacterial infections
amica 500mg injection,use0, Bacterial infections
andreva 75mg tablet sr,use0, Female infertility
alfil 5mg tablet,use0,Treatment of Erectile dysfunction
acvin s 100mg/325mg/15mg tablet,use0, Pain relief
amexosyn 625 tablet,use0,Treatment of Bacterial infections
akurit kid 60 mg/30 mg tablet,use0,Treatment of Tuberculosis (TB)
aldosin capsule,use0,Treatment of Benign prostatic hyperplasia
arminol 20mg tablet,use0,Treatment of Pheochromocytoma
azek 500mg tablet,use0,Treatment of Bacterial infections
anxirid 10mg tablet,use0,Treatment of Anxiety
alkatral syrup,use0,Treatment of Gout
amodep 10mg tablet,use0,Treatment of Hypertension (high blood pressure)
alcocet-m tablet,use0,Treatment of Sneezing and runny nose due to allergies
aztel mt 40mg/25mg tablet,use0,Treatment of Hypertension (high blood pressure)
analiv 100mg/150mg tablet,use0, Indigestion
aspira-s tablet,use0, Pain relief
acmprol 50 r tablet er,use0, Hypertension (high blood pressure)
acugesic t 500 mg/37.5 mg tablet,use0, Pain relief
amo-mip 10 tablet,use0,Treatment of Depression
atropen p eye drop,use0,Treatment of Myopia
azires 500mg tablet,use0,Treatment of Bacterial infections
axitan 2 tablet,use0,Treatment of Short term anxiety
acezit-sp tablet,use0, Pain relief
aclofen 100mg tablet,use0, Pain relief
attera 25mg tablet,use0, Attention deficit hyperactivity disorder (ADHD)
adblock 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
ampril 5mg/5mg tablet,use0, Hypertension (high blood pressure)
amihope 10mg tablet,use0,Treatment of Depression
acecyst 600 effervescent tablet orange,use0,Treatment of Respiratory disease with excessive mucus
axer 150mg tablet,use0,Treatment of Bacterial infections
ab-rozu 20 tablet,use0,Treatment of High cholesterol
apriglim-m 3 tablet sr,use0,Treatment of Type 2 diabetes mellitus
acp sp 100 mg/500 mg/15 mg tablet,use0, Pain relief
abcixirel 10mg injection,use0,Prevention of Blood clots
azneten 20mg tablet,use0,Treatment of Type 2 diabetes mellitus
axipar sp tablet,use0, Pain relief
azmet-vg 2mg/500mg/0.2mg tablet,use0,Treatment of Type 2 diabetes mellitus
ariday 10 tablet,use0, Schizophrenia
acb 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
albaquin 20% cream,use0, Vitiligo
alervo 5mg tablet,use0,Treatment of Allergic conditions
alzym oral gel sugar free,use0,Treatment of Acidity
amlopres-vl 5mg/160mg tablet,use0, Hypertension (high blood pressure)
adamycin gel,use0,Treatment of Acne
anucort 6mg tablet,use0,Treatment of Inflammatory conditions
ampikem c 250mg/250mg capsule,use0,Treatment of Bacterial infections
agkool cream,use0,Treatment of Burns
amorza 0.25% cream,use0, Fungal nail infections
altipod cv 200 mg/125 mg tablet,use0,Treatment of Respiratory tract infection
athzol-dsr capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
axovir 500mg injection,use0, Herpes Simplex Virus Infections
azilac 250mg tablet,use0,Treatment of Bacterial infections
alceclo-sp tablet,use0, Pain relief
allerfast m tablet,use0,Treatment of Sneezing and runny nose due to allergies
azostat 150 mg/1000 mg kit,use0,Treatment of Fungal infections of vagina
acnicin cream,use0, Acne
anximat 0.5mg/10mg tablet,use0,Treatment of Depression
acetis sp-forte tablet,use0, Pain relief
activent kid syrup,use0,Treatment of Common cold
azasis 50mg tablet,use0, Prevention of organ rejection in transplant patients
azilide 100mg tablet dt,use0,Treatment of Bacterial infections
apriglim-m 4 tablet pr,use0,Treatment of Type 2 diabetes mellitus
actiblok ipr 25 tablet,use0,Treatment of Hypertension (high blood pressure)
alexo 180mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
azomag-o oral gel sugar free,use0,Treatment of Acidity
arbazeal-es 40 tablet,use0, Hypertension (high blood pressure)
alonxit 0.5mg/10mg tablet,use0,Treatment of Depression
axylin cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
aricet l 5mg tablet,use0,Treatment of Allergic conditions
amsha 10mg tablet,use0,Treatment of Depression
atroplen 10mg tablet,use0, High cholesterol
arixib 90 tablet,use0, Pain relief
aldinir 300mg capsule,use0, Bacterial infections
asphyllin tablet,use0,Treatment of Cough
abiron 250mg tablet,use0, Prostate cancer
azithro 150 mg/1000 mg/1000 mg tablet,use0, Syndromic treatment of vaginal discharge
azonate c cream,use0, Skin infections
astha-ls oral drops,use0,Acute Sore throat
azithcin 250 tablet,use0,Treatment of Bacterial infections
alnabate forte cream,use0,Treatment of Skin infections
agopose 25mg tablet,use0, Depression
azidep cx tablet,use0, Bacterial infections
avocef 500mg tablet,use0,Treatment of Bacterial infections
ax cold syrup,use0,Treatment of Cough
aabis-sp tablet,use0, Pain relief
aceclan-th tablet,use0,Treatment of Pain due to muscle spasm
azilide 100mg xl  redimix,use0,Treatment of Bacterial infections
asmygaba-nt tablet,use0,Treatment of Neuropathic pain
anthro 100 mg/500 mg tablet,use0, Pain relief
albutamol plus syrup,use0, Chronic obstructive pulmonary disease (COPD)
amox c 500mg capsule,use0,Treatment of Bacterial infections
axatol 20iu infusion,use0, Acute renal failure
amoxil 500 capsule,use0,Treatment of Bacterial infections
acnerus az 20% gel,use0,Treatment of Acne
avobi 50mg tablet,use0, Prostate cancer
adgaba-at 100 tablet,use0, Neuropathic pain
anzavir-r tablet,use0, HIV infection
azidos 500mg tablet,use0,Treatment of Bacterial infections
acerin gm tablet,use0, Arthralgia (joint pain)
azedra plus tablet,use0, Stroke
ator 10 tablet,use0, High cholesterol
above 5-d capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
azilay-xl 200 oral suspension,use0,Treatment of Bacterial infections
argicon sachet,use0, Nutritional deficiencies
acethama-fm tablet sr,use0, Asthma
atorday 10mg tablet,use0, High cholesterol
am dopa 500mg tablet,use0, Hypertension (high blood pressure)
alace 600mg tablet,use0,Treatment of Nutritional deficiencies
astofen sp 100mg/325mg/15mg tablet,use0, Pain relief
astawin plus 0.5mg/10mg tablet,use0,Treatment of Anxiety disorder
amicin 250mg injection,use0, Bacterial infections
acet 10mg tablet,use0,Treatment of Allergic conditions
aricam 20mg tablet,use0, Pain relief
alnol 100mg tablet,use0,Treatment of Gout
azirite 500mg tablet,use0,Treatment of Bacterial infections
acip + tablet,use0, Pain relief
acuclav 1000mg tablet,use0,Treatment of Bacterial infections
alock sp 100mg/325mg/15mg tablet,use0, Pain relief
arminol 40mg tablet,use0,Treatment of Pheochromocytoma
analiv ud 300mg tablet,use0,Treatment of Primary biliary cirrhosis
abclopid a 75 capsule,use0, Prevention of heart attack and stroke
antichol 2mg tablet,use0,Treatment of Parkinson's disease
anosam 1mg tablet,use0, Breast cancer
atext 25mg tablet pr,use0,Treatment of Depression
acmeto-xl 50 tablet pr,use0,Treatment of Hypertension (high blood pressure)
angimed-p tablet,use0, Pain relief
angizem cd 180 capsule er,use0,Treatment of Hypertension (high blood pressure)
axotum gm 1000mg/125mg injection,use0, Bacterial infections
adee tablet,use0, Nutritional deficiencies
aceduoz 100mg/325mg/10mg tablet,use0, Pain relief
alde plus cx tablet,use0,Treatment of Pain due to muscle spasm
acifine sp 100mg/500mg/15mg tablet,use0, Pain relief
atorvee 10mg tablet,use0, High cholesterol
abdocool tablet,use0,Treatment of Irritable bowel syndrome
anglospas 10 mg/250 mg tablet,use0,Treatment of Menstrual pain
amlomed 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
amipheral 50mg tablet,use0, Schizophrenia
aga-dt tablet,use0, Benign prostatic hyperplasia
alermont 5mg/10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
aclon-p 100mg/500mg tablet,use0, Pain relief
anc 9 tablet,use0, Nutritional deficiencies
alpha beta-click injection,use0, Malaria
aclopen 100mg tablet,use0, Pain relief
atm xl 200mg/5ml suspension,use0,Treatment of Bacterial infections
azunate ab 150mg injection,use0, Malaria
amrofix 625 tablet,use0,Treatment of Bacterial infections
